,id,element,type,gen,step,min_lvl_min_atk,min_lvl_max_atk,max_lvl_min_atk,max_lvl_max_atk,min_lvl_min_def,min_lvl_max_def,max_lvl_min_def,max_lvl_max_def,min_lvl_min_hp,min_lvl_max_hp,max_lvl_min_hp,max_lvl_max_hp
id,1,light,Chebang,1,Know,9,19,53,151,7,14,51,102,99,199,275,595
id,1,light,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,1,light,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,1,light,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,1,light,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,2,wind,Health,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,2,wind,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,2,wind,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,2,wind,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,2,wind,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,3,wind,Health,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,3,wind,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,3,wind,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,3,wind,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,3,wind,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,4,wind,Attack,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,4,wind,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,4,wind,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,4,wind,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,4,wind,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,5,Fire,Attack,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
